StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Did you find this explanation useful?,"From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Rainy or stormy weather with heavy traffic congestion.
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow 
		
		
			No feedback
			Positive feedback*
		
	

 

* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions

Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Receive 5 euros for each delivery
			Receive 7,50 euros for each delivery
		
		
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
			Rainy or stormy weather with heavy traffic congestion.
		
	





Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
			Rainy or stormy weather with heavy traffic congestion.
		
		
			Positive feedback* 
			No feedbback
		
	



* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions

Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

 

	
		
			Scenario 1
			Scenario 2
		
		
			Receive 7,50 euros for each delivery
			Receive 5 euros for each delivery
		
	





Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Positive feedback*
			No feedback
		
	



* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions



Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Receive 7,50 euros for each delivery.
			Receive 5 euros for each delivery
		
		
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
			Rainy or stormy weather with heavy traffic congestion.
		
		
			Positive feedback*
			No feedback
		
	

* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions

Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Rainy or stormy weather with heavy traffic congestion.
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
		
		
			Positive feedback*
			No feedback
		
	



* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions.

Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			No feedback
			Positive feedback*
		
	



* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions.

Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Receive 7,50 euros for each delivery
			Receive 5 euros for each delivery
		
		
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
			Rainy or stormy weather with heavy traffic congestion.
		
	





Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Receive 7,50 euros for each delivery
			Receive 5 euros for each delivery
		
		
			No feedback
			Positive feedback*
		
	



* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions.

Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Receive 5 euros for each delivery
			Receive 7,50 euros for each delivery
		
	





Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
			Rainy or stormy weather with heavy traffic congestion.
		
	





Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			.Receive 7,50 euros for each delivery
			Receive 5 euros for each delivery
		
		
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
			Rainy or stormy weather with heavy traffic congestion.
		
		
			Positive feedback* 
			No feedback
		
	



* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions.

Which scenario would you be more likely to make a delivery?",What is your gender?,How old are you?,List of Countries,Which of the following best describes your current living area?,What is your highest level of education?,What best describes your employment status over the last three months?,What is your most frequent mode of transportation?,"This is the end of the survey. Thanks for your support! 
What are the reasons for you to make those answers? Please feel free to leave any comments or suggestions to us:",What is your Prolific ID?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID21""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID34""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID32""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID49_TEXT""}"
2023-06-27 00:49:02,2023-06-27 00:51:42,Survey Preview,,100,160,True,2023-06-27 00:51:44,R_3fUfuOKYBx9ZftN,,,,,34.2635,108.9246,preview,EN,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Other,55-64 years old,Antigua and Barbuda,City,Bachelor's degree,A homemaker or stay-at-home parent,Walking,,
2023-06-27 05:41:10,2023-06-27 05:43:53,IP Address,94.63.88.205,100,162,True,2023-06-27 05:43:53,R_2qqiiUIZB7C86i1,,,,,38.731,-9.1373,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,35-44 years old,Portugal,City,Bachelor's degree,Working full-time,Walking,,5de78fbbd7b2a0000bc2df59
2023-06-27 05:41:00,2023-06-27 05:44:10,IP Address,146.198.45.107,100,189,True,2023-06-27 05:44:11,R_3FUTMLBYBJ8JME3,,,,,52.4512,-2.1173,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Rural,Bachelor's degree,Working full-time,Car,,5c6ddaefdf677d00013fa313
2023-06-27 05:42:32,2023-06-27 05:44:37,IP Address,163.158.111.63,100,125,True,2023-06-27 05:44:38,R_1pF4y9jkmvjeoBP,,,,,52.3336,6.6439,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,25-34 years old,Netherlands,City,Bachelor's degree,Working full-time,Car,,60216ae272e775127f1ecd1f
2023-06-27 05:41:45,2023-06-27 05:45:19,IP Address,82.26.181.154,100,213,True,2023-06-27 05:45:20,R_32VElPHHT1qpL7w,,,,,51.3295,0.578,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,18-24 years old,United Kingdom of Great Britain and Northern Ireland,City,High school diploma or equivalent,Student,"Public transportation (bus, train, subway, etc)",I picked what was most pleasant for me,5df119cae3cc5b012d81f64b
2023-06-27 05:43:34,2023-06-27 05:46:20,IP Address,95.108.58.252,100,166,True,2023-06-27 05:46:21,R_1gzkDAWpa1ZtqQ0,,,,,52.4052,16.9339,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Male,18-24 years old,Poland,City,Bachelor's degree,Working part-time,"Public transportation (bus, train, subway, etc)",,5ea9c1f55ce96d106af147a7
2023-06-27 05:42:03,2023-06-27 05:46:38,IP Address,195.238.185.109,100,274,True,2023-06-27 05:46:38,R_1XNLB4xrtHczkWt,,,,,50.0585,19.9342,anonymous,EN,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,25-34 years old,Poland,City,Bachelor's degree,Working full-time,Car,,5bba23a6f2aee50001c88d11
2023-06-27 05:44:18,2023-06-27 05:46:39,IP Address,5.249.81.196,100,141,True,2023-06-27 05:46:40,R_2q90HyjPerSN69q,,,,,41.1691,-8.6793,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,18-24 years old,Portugal,City,Master's degree,Student,"Public transportation (bus, train, subway, etc)",,612ccc537fd00ae8b3e8b95f
2023-06-27 05:43:58,2023-06-27 05:47:13,IP Address,94.60.196.199,100,194,True,2023-06-27 05:47:14,R_2QDnDsWER9XERGD,,,,,41.1691,-8.6793,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,35-44 years old,Portugal,City,High school diploma or equivalent,Working full-time,Walking,,5cc1e06fda600e0019981f0f
2023-06-27 05:42:36,2023-06-27 05:47:24,IP Address,85.5.214.95,100,287,True,2023-06-27 05:47:25,R_2CkTiRgZ9Z74icw,,,,,46.5378,6.622,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Female,18-24 years old,Switzerland,City,Bachelor's degree,Other,"Public transportation (bus, train, subway, etc)",The good weather. It's easier to drive with good weather.,609303ffc951134a7003e6bb
2023-06-27 05:45:05,2023-06-27 05:47:36,IP Address,89.155.182.185,100,151,True,2023-06-27 05:47:37,R_3PoDFQL5aORMuZj,,,,,41.5515,-8.4204,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,35-44 years old,Portugal,City,High school diploma or equivalent,Working full-time,Car,,5f6ab630339f67193e8b487f
2023-06-27 05:43:39,2023-06-27 05:47:56,IP Address,95.136.32.63,100,257,True,2023-06-27 05:47:57,R_1CJfsBWG2sNdLlJ,,,,,38.6391,-9.1063,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,35-44 years old,Portugal,City,Bachelor's degree,Working full-time,Car,,616af671eb2b0b1ca4947cff
2023-06-27 05:45:00,2023-06-27 05:48:16,IP Address,88.156.143.50,100,195,True,2023-06-27 05:48:17,R_SZh9WxF51pbe4iR,,,,,52.2296,21.0067,anonymous,EN,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Male,18-24 years old,Poland,City,High school diploma or equivalent,Working part-time,"Public transportation (bus, train, subway, etc)",,5d24cb1417b7100019b5d319
2023-06-27 05:45:50,2023-06-27 05:48:33,IP Address,213.228.157.111,100,162,True,2023-06-27 05:48:34,R_3po6A3Xb9lbnfET,,,,,38.6821,-9.162,anonymous,EN,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Male,35-44 years old,Portugal,City,Master's degree,Working full-time,Walking,,5bf8868cdb80b20001789262
2023-06-27 05:42:37,2023-06-27 05:48:34,IP Address,87.61.103.155,100,356,True,2023-06-27 05:48:35,R_1igRcbElZR9wE44,,,,,56.1567,10.2153,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Male,55-64 years old,Denmark,Rural,High school diploma or equivalent,A homemaker or stay-at-home parent,Bicycle,"more customers, more profit",578e215abaec1b0001697778
2023-06-27 05:42:07,2023-06-27 05:48:52,IP Address,212.3.210.177,100,405,True,2023-06-27 05:48:53,R_3fCtzYVM789uWHT,,,,,56.9496,24.0978,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,25-34 years old,Latvia,City,Bachelor's degree,Working full-time,Walking,Money and good weather/traffic conditions,5eb86296a7371b0bc856c1fa
2023-06-27 05:45:10,2023-06-27 05:48:54,IP Address,93.108.38.8,100,223,True,2023-06-27 05:48:55,R_u3nqy7TRRcnf5lv,,,,,38.731,-9.1373,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,35-44 years old,Portugal,City,Master's degree,Working full-time,Car,,6152d0b606c0aa99796c7f74
2023-06-27 05:44:40,2023-06-27 05:49:18,IP Address,109.178.233.76,100,277,True,2023-06-27 05:49:19,R_2TXcP8GaNjnhmHk,,,,,37.9667,23.7167,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,18-24 years old,Greece,City,Bachelor's degree,Student,Walking,"Better compensation, reducing every day strain, easier life.",5d77bc0a4503c30001c724b8
2023-06-27 05:45:29,2023-06-27 05:49:23,IP Address,91.235.230.79,100,233,True,2023-06-27 05:49:24,R_3HttT3usPT60tOh,,,,,50.0366,22.0142,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Male,18-24 years old,Poland,City,Associate's degree or vocational certification,Student,Car,"What influences our decisions the most. Money, weather or opinion.",6032ff8864a0343941c4e8eb
2023-06-27 05:44:57,2023-06-27 05:49:38,IP Address,46.205.215.62,100,280,True,2023-06-27 05:49:39,R_1PRSrMgJxpgsq6r,,,,,52.4052,16.9339,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Female,18-24 years old,Poland,City,Bachelor's degree,Working part-time,Walking,,60f150dd96da0e53dafc3d4f
2023-06-27 05:44:43,2023-06-27 05:49:42,IP Address,83.26.154.227,100,299,True,2023-06-27 05:49:43,R_3fK6yisVkVgTBkv,,,,,50.2902,18.6647,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,25-34 years old,Poland,City,High school diploma or equivalent,Unemployed and looking for work,Bicycle,,5c4f4ce19eeaf00001598126
2023-06-27 05:46:17,2023-06-27 05:49:48,IP Address,94.63.97.86,100,210,True,2023-06-27 05:49:48,R_1MTkUalUZg02OhB,,,,,38.731,-9.1373,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,25-34 years old,Portugal,City,Associate's degree or vocational certification,Other,Car,I value rewards and conditions over the rest,5f008bb06e7dc419c43ee3e9
2023-06-27 05:45:50,2023-06-27 05:50:12,IP Address,46.109.239.208,100,262,True,2023-06-27 05:50:13,R_2pRBIgpoLmvDobm,,,,,56.8758,25.1031,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,18-24 years old,Latvia,Rural,Associate's degree or vocational certification,Working part-time,Car,made them based on my personal feelings,5b2e7ece975e260001e921b7
2023-06-27 05:46:27,2023-06-27 05:50:19,IP Address,83.144.190.205,100,232,True,2023-06-27 05:50:20,R_tYXDfVJCGdpeS6R,,,,,41.2784,-7.7265,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,18-24 years old,Portugal,Rural,Bachelor's degree,Student,"Public transportation (bus, train, subway, etc)",,5e3d8c9f7695150442c45253
2023-06-27 05:46:18,2023-06-27 05:50:21,IP Address,92.178.210.180,100,242,True,2023-06-27 05:50:22,R_1dgbKAXpaPrVDH0,,,,,41.387,2.1701,anonymous,EN,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,55-64 years old,Spain,City,Associate's degree or vocational certification,Working part-time,"Public transportation (bus, train, subway, etc)",,60fd6968ca3c5db3ab68c13b
2023-06-27 05:41:54,2023-06-27 05:50:23,IP Address,89.114.14.155,100,508,True,2023-06-27 05:50:24,R_1nT5otiRVmmMmia,,,,,41.1691,-8.6793,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,18-24 years old,Portugal,City,Bachelor's degree,Student,Car,because i hate traffic,645265417a97ef58c3bfa147
2023-06-27 05:46:02,2023-06-27 05:50:58,IP Address,77.254.233.175,100,296,True,2023-06-27 05:50:59,R_3LXqFHRNK2rhmmr,,,,,51.1043,17.0335,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,18-24 years old,Poland,City,Bachelor's degree,Student,Bicycle,,615a0033b998aa8e69c9c84e
2023-06-27 05:46:11,2023-06-27 05:51:59,IP Address,89.247.173.114,100,348,True,2023-06-27 05:52:00,R_2dzq6VHM5Toc4BF,,,,,52.4955,13.4105,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,25-34 years old,Germany,City,Bachelor's degree,Working full-time,Bicycle,Delivering packages in lovely weather is easier than in the heavy rain and I would rather get extra 2 dollars than recognition - I find validation and recognition elsewhere,6431f1ee68699c2ae4f48b79
2023-06-27 05:45:16,2023-06-27 05:54:39,IP Address,144.64.21.25,100,562,True,2023-06-27 05:54:39,R_3Oc8NFEq9wyr9iz,,,,,41.4456,-8.2929,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Female,35-44 years old,Portugal,City,Master's degree,Working full-time,Car,"In the options that only had the amount paid, I chose the highest.In the options that had the state of the weather, I always tried to value the good weather, for safety.And with regard to reputation, I tried to choose what gave a good reputation, as long as it didn't involve bad weather conditions.",5ce2a924feca320001f93ee7
2023-06-27 05:46:13,2023-06-27 05:58:13,IP Address,109.146.89.80,100,720,True,2023-06-27 05:58:14,R_25vKj4MOjdk19e9,,,,,56.1323,-3.1163,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Rural,Bachelor's degree,Unemployed and looking for work,Walking,,614f0c9b83250af5b20f110b
2023-06-27 05:42:03,2023-06-27 05:59:03,IP Address,83.26.141.227,100,1020,True,2023-06-27 05:59:04,R_1onKunurMUNpf2m,,,,,51.7737,19.4767,anonymous,EN,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Male,18-24 years old,Poland,City,High school diploma or equivalent,Student,Car,fun and earning,5eb40e49245b8622104636ec
